"Story","Title","Result","Date","Stability","Duration (s)"
"Arrivals tab in SMT application for Store Operator user","Verify user is able to add arrival line and arrival receipt type data and finalize it","PENDING","2023-01-06T13:58:24.865+05:30[Asia/Calcutta]","0.0","0.13"
"Arrivals tab in SMT application for Store Operator user","Verify user is able to update arrival line and arrival receipt type data before finalizing","PENDING","2023-01-06T13:58:25.044+05:30[Asia/Calcutta]","0.0","0.13"
"Arrivals tab in SMT application for Store Operator user","Verify user is able to delete arrival line  And arrival receipt type data before finalizing","PENDING","2023-01-06T13:58:25.192+05:30[Asia/Calcutta]","0.0","0.09"
"Issuing tab in SMT application for Store Operator user","Verify user is able to add issuing line and issuing requisition type data and finalize","PENDING","2023-01-06T13:58:25.301+05:30[Asia/Calcutta]","0.0","0.06"
"Issuing tab in SMT application for Store Operator user","Verify user is able to edit issuing line and issuing requisition type data before finalizing","PENDING","2023-01-06T13:58:25.385+05:30[Asia/Calcutta]","0.0","0.08"
"Issuing tab in SMT application for Store Operator user","Verify user is able to delete issuing line and delete issuing requisition type data before finalizing","PENDING","2023-01-06T13:58:25.491+05:30[Asia/Calcutta]","0.0","0.06"
"Physical Count & Adjustments tab in SMT application for Store Operator user","Verify user is able to add arrival receipt type data and perform physical count type surplus adjustment","PENDING","2023-01-06T13:58:25.592+05:30[Asia/Calcutta]","0.0","0.13"
"Physical Count & Adjustments tab in SMT application for Store Operator user","Verify user is able to add arrival receipt type data and perform adjustment type missing adjustment","PENDING","2023-01-06T13:58:25.767+05:30[Asia/Calcutta]","0.0","0.1"
"Store Data tab in SMT application for Store Operator user","Verify user is able to add storage data","PENDING","2023-01-06T13:58:25.889+05:30[Asia/Calcutta]","0.0","0.05"
"Store Data tab in SMT application for Store Operator user","Verify user is able to update storage data","PENDING","2023-01-06T13:58:25.949+05:30[Asia/Calcutta]","0.0","0.04"
"Store Data tab in SMT application for Store Operator user","Verify user is able to delete storage data","PENDING","2023-01-06T13:58:26.002+05:30[Asia/Calcutta]","0.0","0.02"
"Temperature Logging tab in SMT application for Store Operator user","Verify user is able to add details of temperature, alarms and save","PENDING","2023-01-06T13:58:26.056+05:30[Asia/Calcutta]","0.0","0.05"
"Temperature Logging tab in SMT application for Store Operator user","Verify user is able to update details of temperature, alarms and save","PENDING","2023-01-06T13:58:26.109+05:30[Asia/Calcutta]","0.0","0.02"
"Temperature Logging tab in SMT application for Store Operator user","Verify user is able to cancel details of temperature, alarms","PENDING","2023-01-06T13:58:26.137+05:30[Asia/Calcutta]","0.0","0.02"
