"Story","Title","Result","Date","Stability","Duration (s)"
"Arrivals tab in SMT application for Store Operator user","Verify user is able to add arrival line and arrival receipt type data and finalize it","SUCCESS","2023-01-31T10:25:44.589+05:30[Asia/Calcutta]","0.0","49.67"
"Arrivals tab in SMT application for Store Operator user","Verify user is able to delete arrival line  And arrival receipt type data before finalizing","SUCCESS","2023-01-31T10:27:25.34+05:30[Asia/Calcutta]","0.0","115.82"
"Arrivals tab in SMT application for Store Operator user","Verify user is able to update arrival line and arrival receipt type data before finalizing","SUCCESS","2023-01-31T10:57:42.669+05:30[Asia/Calcutta]","0.0","73.02"
"Issuing tab in SMT application for Store Operator user","Verify user is able to add issuing line and issuing requisition type data and finalize","SUCCESS","2023-01-31T10:29:21.221+05:30[Asia/Calcutta]","0.0","121.15"
"Issuing tab in SMT application for Store Operator user","Verify user is able to edit issuing line and issuing requisition type data before finalizing","SUCCESS","2023-01-31T10:31:22.406+05:30[Asia/Calcutta]","0.0","151.59"
"Physical Count & Adjustments tab in SMT application for Store Operator user","Verify user is able to add arrival receipt type data and perform physical count type surplus adjustment","SUCCESS","2023-01-31T10:34:51.966+05:30[Asia/Calcutta]","0.0","90.09"
"Physical Count & Adjustments tab in SMT application for Store Operator user","Verify user is able to add arrival receipt type data and perform adjustment type missing adjustment","SUCCESS","2023-01-31T10:36:22.104+05:30[Asia/Calcutta]","0.0","89.26"
"Reports tab in SMT application for Store Operator user","Verify user is able to download all excel report","SUCCESS","2023-01-31T10:37:51.443+05:30[Asia/Calcutta]","0.0","170.95"
"Reports tab in SMT application for Store Operator user","Verify user is able to download all pdf report","SUCCESS","2023-01-31T10:40:42.45+05:30[Asia/Calcutta]","0.0","212.53"
"Reports tab in SMT application for Store Operator user","Verify user is able to download all excel report including sub store","SUCCESS","2023-01-31T10:44:15.04+05:30[Asia/Calcutta]","0.0","145.33"
"Reports tab in SMT application for Store Operator user","Verify user is able to download all pdf report including sub store","SUCCESS","2023-01-31T10:59:51.425+05:30[Asia/Calcutta]","0.0","154.63"
"Reports tab in SMT application for Store Operator user","Verify user is able to download all pdf report including sub store for iSC Performance tab","SUCCESS","2023-01-31T11:02:26.095+05:30[Asia/Calcutta]","0.0","125.9"
"Stock Overview tab in SMT application for Store Operator user","Verify user is able to validate data is present for all the listed products","SUCCESS","2023-01-31T11:04:32.024+05:30[Asia/Calcutta]","0.0","30.99"
"Store Data tab in SMT application for Store Operator user","Verify user is able to add storage data","SUCCESS","2023-01-31T10:52:32.956+05:30[Asia/Calcutta]","0.0","28.82"
"Store Data tab in SMT application for Store Operator user","Verify user is able to update storage data","SUCCESS","2023-01-31T10:53:01.8+05:30[Asia/Calcutta]","0.0","35.64"
"Store Data tab in SMT application for Store Operator user","Verify user is able to delete storage data","SUCCESS","2023-01-31T10:53:37.461+05:30[Asia/Calcutta]","0.0","67.83"
"Temperature Logging tab in SMT application for Store Operator user","Verify user is able to add details of temperature, alarms and save","SUCCESS","2023-01-31T10:54:46.004+05:30[Asia/Calcutta]","0.0","54.73"
"Temperature Logging tab in SMT application for Store Operator user","Verify user is able to update details of temperature, alarms and save","SUCCESS","2023-01-31T10:55:40.767+05:30[Asia/Calcutta]","0.0","56.21"
