"Story","Title","Result","Date","Stability","Duration (s)"
"Programme Data tab in SMT application for Country Admin user","Verify user is able to add Routine Vaccine","SUCCESS","2023-02-01T10:14:20.477+05:30[Asia/Calcutta]","0.0","46.24"
"Programme Data tab in SMT application for Country Admin user","Verify user is able to edit Routine Vaccine","SUCCESS","2023-02-01T10:15:06.783+05:30[Asia/Calcutta]","0.0","43.1"
"Programme Data tab in SMT application for Country Admin user","Verify user is able to add Supplementary Vaccine","SUCCESS","2023-02-01T10:16:15.805+05:30[Asia/Calcutta]","0.0","41.89"
"Programme Data tab in SMT application for Country Admin user","Verify user is able to edit Supplementary Vaccine","SUCCESS","2023-02-01T10:16:57.752+05:30[Asia/Calcutta]","0.0","42.21"
"Programme Data tab in SMT application for Country Admin user","Verify user is able to add child survival intervention","SUCCESS","2023-02-01T10:18:08.591+05:30[Asia/Calcutta]","0.0","39.85"
"Programme Data tab in SMT application for Country Admin user","Verify user is able to edit child survival intervention","SUCCESS","2023-02-01T10:18:48.49+05:30[Asia/Calcutta]","0.0","42.62"
"Arrivals tab in SMT application for Store Operator user","Verify user is able to add arrival line and arrival receipt type data and finalize it","SUCCESS","2023-02-01T10:22:53.387+05:30[Asia/Calcutta]","0.0","60.24"
"Stock Overview tab in SMT application for Store Operator user","Verify user is able to validate data is present for all the listed products","SUCCESS","2023-02-01T10:48:28.72+05:30[Asia/Calcutta]","0.0","34.08"
"Store Data tab in SMT application for Store Operator user","Verify user is able to add storage data","SUCCESS","2023-02-01T10:49:03.494+05:30[Asia/Calcutta]","0.0","46.37"
"Store Data tab in SMT application for Store Operator user","Verify user is able to update storage data","SUCCESS","2023-02-01T10:49:49.89+05:30[Asia/Calcutta]","0.0","36.19"
"Store Data tab in SMT application for Store Operator user","Verify user is able to delete storage data","SUCCESS","2023-02-01T10:50:26.105+05:30[Asia/Calcutta]","0.0","59.15"
"Temperature Logging tab in SMT application for Store Operator user","Verify user is able to add details of temperature, alarms and save","SUCCESS","2023-02-01T10:51:25.98+05:30[Asia/Calcutta]","0.0","59.02"
"Temperature Logging tab in SMT application for Store Operator user","Verify user is able to update details of temperature, alarms and save","SUCCESS","2023-02-01T10:52:25.032+05:30[Asia/Calcutta]","0.0","55.62"
"Temperature Logging tab in SMT application for Store Operator user","Verify user is able to cancel details of temperature, alarms","SUCCESS","2023-02-01T10:53:21.373+05:30[Asia/Calcutta]","0.0","50.1"
