"Story","Title","Result","Date","Stability","Duration (s)"
"Programme Data tab in SMT application for Country Admin user","Verify user is able to add Routine Vaccine","SUCCESS","2023-02-01T10:14:20.477+05:30[Asia/Calcutta]","0.0","46.24"
"Programme Data tab in SMT application for Country Admin user","Verify user is able to edit Routine Vaccine","SUCCESS","2023-02-01T10:15:06.783+05:30[Asia/Calcutta]","0.0","43.1"
"Programme Data tab in SMT application for Country Admin user","Verify user is able to delete Routine Vaccine","SUCCESS","2023-02-01T10:15:49.936+05:30[Asia/Calcutta]","0.0","25.05"
"Programme Data tab in SMT application for Country Admin user","Verify user is able to add Supplementary Vaccine","SUCCESS","2023-02-01T10:16:15.805+05:30[Asia/Calcutta]","0.0","41.89"
"Programme Data tab in SMT application for Country Admin user","Verify user is able to edit Supplementary Vaccine","SUCCESS","2023-02-01T10:16:57.752+05:30[Asia/Calcutta]","0.0","42.21"
"Programme Data tab in SMT application for Country Admin user","Verify user is able to delete Supplementary Vaccine","SUCCESS","2023-02-01T10:17:40.01+05:30[Asia/Calcutta]","0.0","27.79"
"Programme Data tab in SMT application for Country Admin user","Verify user is able to add child survival intervention","SUCCESS","2023-02-01T10:18:08.591+05:30[Asia/Calcutta]","0.0","39.85"
"Programme Data tab in SMT application for Country Admin user","Verify user is able to edit child survival intervention","SUCCESS","2023-02-01T10:18:48.49+05:30[Asia/Calcutta]","0.0","42.62"
"Programme Data tab in SMT application for Country Admin user","Verify user is able to delete child survival intervention","SUCCESS","2023-02-01T10:19:31.147+05:30[Asia/Calcutta]","0.0","27.18"
"Language change in SMT application","Change language from English to French","SUCCESS","2023-02-01T10:19:59.161+05:30[Asia/Calcutta]","0.0","9.51"
"Language change in SMT application","Change language from French to French","SUCCESS","2023-02-01T10:20:09.383+05:30[Asia/Calcutta]","0.0","8.2"
"Language change in SMT application","Change language from French to English","SUCCESS","2023-02-01T10:20:18.306+05:30[Asia/Calcutta]","0.0","10.89"
"Language change in SMT application","Change language from English to French and verify sign in Page in french","SUCCESS","2023-02-01T10:20:29.905+05:30[Asia/Calcutta]","0.0","7.27"
"Login to SMT application","Login to the application with valid credentials","SUCCESS","2023-02-01T10:20:37.928+05:30[Asia/Calcutta]","0.0","18.92"
"Login to SMT application","Login to the application with invalid credentials","SUCCESS","2023-02-01T10:20:56.886+05:30[Asia/Calcutta]","0.0","20.45"
"Creation of user in SMT application","Verify user is able to create new SD Admin role user","ERROR","2023-02-01T10:59:17.02+05:30[Asia/Calcutta]","0.0","95.22"
"Arrivals tab in SMT application for Store Operator user","Verify user is able to add arrival line and arrival receipt type data and finalize it","SUCCESS","2023-02-01T10:22:53.387+05:30[Asia/Calcutta]","0.0","60.24"
"Arrivals tab in SMT application for Store Operator user","Verify user is able to update arrival line and arrival receipt type data before finalizing","SUCCESS","2023-02-01T10:23:53.696+05:30[Asia/Calcutta]","0.0","82.36"
"Arrivals tab in SMT application for Store Operator user","Verify user is able to delete arrival line  And arrival receipt type data before finalizing","SUCCESS","2023-02-01T10:25:16.111+05:30[Asia/Calcutta]","0.0","119.96"
"Issuing tab in SMT application for Store Operator user","Verify user is able to edit issuing line and issuing requisition type data before finalizing","SUCCESS","2023-02-01T10:28:25.453+05:30[Asia/Calcutta]","0.0","152.64"
"Issuing tab in SMT application for Store Operator user","Verify user is able to add issuing line and issuing requisition type data and finalize","SUCCESS","2023-02-01T10:56:07.185+05:30[Asia/Calcutta]","0.0","127.12"
"Issuing tab in SMT application for Store Operator user","Verify user is able to delete issuing line and delete issuing requisition type data before finalizing","FAILURE","2023-02-01T11:00:52.286+05:30[Asia/Calcutta]","0.0","61.8"
"Physical Count & Adjustments tab in SMT application for Store Operator user","Verify user is able to add arrival receipt type data and perform physical count type surplus adjustment","SUCCESS","2023-02-01T10:32:00+05:30[Asia/Calcutta]","0.0","103.34"
"Physical Count & Adjustments tab in SMT application for Store Operator user","Verify user is able to add arrival receipt type data and perform adjustment type missing adjustment","SUCCESS","2023-02-01T10:33:43.37+05:30[Asia/Calcutta]","0.0","99.55"
"Reports tab in SMT application for Store Operator user","Verify user is able to download all excel report","SUCCESS","2023-02-01T10:35:22.988+05:30[Asia/Calcutta]","0.0","172.21"
"Reports tab in SMT application for Store Operator user","Verify user is able to download all pdf report","SUCCESS","2023-02-01T10:38:15.266+05:30[Asia/Calcutta]","0.0","201.4"
"Reports tab in SMT application for Store Operator user","Verify user is able to download all excel report including sub store","SUCCESS","2023-02-01T10:41:36.715+05:30[Asia/Calcutta]","0.0","132.54"
"Reports tab in SMT application for Store Operator user","Verify user is able to download all pdf report including sub store","SUCCESS","2023-02-01T10:43:49.308+05:30[Asia/Calcutta]","0.0","148.23"
"Reports tab in SMT application for Store Operator user","Verify user is able to download all pdf report including sub store for iSC Performance tab","SUCCESS","2023-02-01T10:46:17.573+05:30[Asia/Calcutta]","0.0","131.11"
"Stock Overview tab in SMT application for Store Operator user","Verify user is able to validate data is present for all the listed products","SUCCESS","2023-02-01T10:48:28.72+05:30[Asia/Calcutta]","0.0","34.08"
"Store Data tab in SMT application for Store Operator user","Verify user is able to add storage data","SUCCESS","2023-02-01T10:49:03.494+05:30[Asia/Calcutta]","0.0","46.37"
"Store Data tab in SMT application for Store Operator user","Verify user is able to update storage data","SUCCESS","2023-02-01T10:49:49.89+05:30[Asia/Calcutta]","0.0","36.19"
"Store Data tab in SMT application for Store Operator user","Verify user is able to delete storage data","SUCCESS","2023-02-01T10:50:26.105+05:30[Asia/Calcutta]","0.0","59.15"
"Temperature Logging tab in SMT application for Store Operator user","Verify user is able to add details of temperature, alarms and save","SUCCESS","2023-02-01T10:51:25.98+05:30[Asia/Calcutta]","0.0","59.02"
"Temperature Logging tab in SMT application for Store Operator user","Verify user is able to update details of temperature, alarms and save","SUCCESS","2023-02-01T10:52:25.032+05:30[Asia/Calcutta]","0.0","55.62"
"Temperature Logging tab in SMT application for Store Operator user","Verify user is able to cancel details of temperature, alarms","SUCCESS","2023-02-01T10:53:21.373+05:30[Asia/Calcutta]","0.0","50.1"
